id,slug,naziv,vrsta,religija,konfesija,oib,sjediste,broj_zupa,povrsina_km2,stanovnika_na_podrucju,broj_naselja,broj_crkava,slaganje_s_osm_posto,izvori
52,medunarodna-ujedinjena-pentekostna-crkva-u-republici-hrvatskoj,Međunarodna Ujedinjena Pentekostna Crkva u Republici Hrvatskoj,zajednica,christian,pentecostal,81887934384,Samobor,3,,,,,,"[""datagovhr:vjerske-zajednice""]"
65,medunarodno-drustvo-za-svjesnost-krisne-u-republici-hrvatskoj,Međunarodno Društvo za Svjesnost Krišne u Republici Hrvatskoj,zajednica,,,79899683872,Daruvar,9,,,,,,"[""datagovhr:vjerske-zajednice""]"
34,neovisna-baptisticka-crkva,Neovisna Baptistička Crkva,zajednica,christian,baptist,50533935245,Čakovec,4,,,,,,"[""datagovhr:vjerske-zajednice""]"
45,novoapostolska-crkva-u-republici-hrvatskoj,Novoapostolska Crkva u Republici Hrvatskoj,zajednica,christian,protestant,82826872147,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
9,pozeska-biskupija,Požeška Biskupija,biskupija,christian,roman_catholic,16015698482,Požega,93,6791.3,234898,740,158,99.3,"[""datagovhr:katolicke-pravne-osobe""]"
50,protestantska-reformirana-krscanska-crkva-u-republici-hrvatskoj,Protestantska Reformirana Kršćanska Crkva u Republici Hrvatskoj,zajednica,christian,reformed,77569668069,Osijek,10,,,,,,"[""datagovhr:vjerske-zajednice""]"
17,reformatska-krscanska-crkva-madara-u-hrvatskoj,Reformatska Kršćanska Crkva Mađara u Hrvatskoj,zajednica,christian,reformed,50542093088,Kopačevo,29,,,,,,"[""datagovhr:vjerske-zajednice""]"
46,reformirana-krscanska-kalvinska-crkva-u-hrvatskoj,Reformirana Kršćanska Kalvinska Crkva u Hrvatskoj,zajednica,christian,reformed,68677215945,Lug,27,,,,,,"[""datagovhr:vjerske-zajednice""]"
39,reformni-pokret-adventista-sedmog-dana,Reformni Pokret Adventista Sedmog Dana,zajednica,christian,reformed,12980410812,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
12,rijecka-nadbiskupija,Riječka Nadbiskupija,nadbiskupija,christian,roman_catholic,96409277324,Rijeka,90,2596.9,227036,394,260,,"[""datagovhr:katolicke-pravne-osobe""]"
36,savez-baptistickih-crkava-u-republici-hrvatskoj,Savez Baptističkih Crkava u Republici Hrvatskoj,zajednica,christian,baptist,31912992549,Zagreb,62,,,,,,"[""datagovhr:vjerske-zajednice""]"
55,savez-crkava-rijec-zivota,"Savez Crkava ""riječ Života""",zajednica,,,00166932403,Zagreb,13,,,,,,"[""datagovhr:vjerske-zajednice""]"
38,savez-kristovih-pentekostnih-crkava-u-republici-hrvatskoj,Savez Kristovih Pentekostnih Crkava u Republici Hrvatskoj,zajednica,christian,pentecostal,62918433776,Zagreb,9,,,,,,"[""datagovhr:vjerske-zajednice""]"
29,scijentoloska-crkva-u-hrvatskoj,Scijentološka Crkva u Hrvatskoj,zajednica,christian,protestant,59676711350,Orehovica,2,,,,,,"[""datagovhr:vjerske-zajednice""]"
14,sisacka-biskupija,Sisačka Biskupija,biskupija,christian,roman_catholic,30969048417,Sisak,65,5052.9,166135,601,144,,"[""datagovhr:katolicke-pravne-osobe""]"
44,slobodna-katolicka-crkva,Slobodna Katolička Crkva,zajednica,christian,protestant,09119143082,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
6,splitsko-makarska-nadbiskupija,Splitsko-makarska Nadbiskupija,nadbiskupija,christian,roman_catholic,49607807960,Split,188,3618.8,419308,326,251,,"[""datagovhr:katolicke-pravne-osobe""]"
54,u-hrvatskoj,Srpska Pravoslavna Crkva u Hrvatskoj,zajednica,christian,serbian_orthodox,,Zagreb,434,,,,,,"[""datagovhr:vjerske-zajednice""]"
58,univerzalni-zivot,Univerzalni Život,zajednica,,,43497184465,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
3,varazdinska-biskupija,Varaždinska Biskupija,biskupija,christian,roman_catholic,36594242059,Varaždin,105,3210.5,338109,542,292,,"[""datagovhr:katolicke-pravne-osobe""]"
11,zadarska-nadbiskupija,Zadarska Nadbiskupija,nadbiskupija,christian,roman_catholic,12406417624,Zadar,116,3040.5,158239,208,134,,"[""datagovhr:katolicke-pravne-osobe""]"
1,zagrebacka-nadbiskupija,Zagrebačka Nadbiskupija,nadbiskupija,christian,roman_catholic,86311439718,Zagreb,206,4595.6,1189160,1240,321,,"[""datagovhr:katolicke-pravne-osobe""]"
2,dakovacko-osjecka-nadbiskupija,Đakovačko-osječka Nadbiskupija,nadbiskupija,christian,roman_catholic,41044104941,Đakovo,153,6921.5,461720,372,243,98.7,"[""datagovhr:katolicke-pravne-osobe""]"
10,sibenska-biskupija,Šibenska Biskupija,biskupija,christian,roman_catholic,,Šibenik,74,3151.8,102899,231,116,,"[""datagovhr:katolicke-pravne-osobe""]"
69,zidovska-opcina-daruvar,Židovska Općina Daruvar,zajednica,jewish,jewish,49711144643,Daruvar,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
24,zidovska-opcina-dubrovnik,Židovska Općina Dubrovnik,zajednica,jewish,jewish,75295583325,Dubrovnik,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
21,zidovska-opcina-koprivnica,Židovska Općina Koprivnica,zajednica,jewish,jewish,47629881026,Koprivnica,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
25,zidovska-opcina-osijek,Židovska Općina Osijek,zajednica,jewish,jewish,57398501222,Osijek,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
20,zidovska-opcina-rijeka,Židovska Općina Rijeka,zajednica,jewish,jewish,03878761382,Rijeka,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
68,zidovska-opcina-slavonski-brod,Židovska Općina Slavonski Brod,zajednica,jewish,jewish,52466204354,Slavonski Brod,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
23,zidovska-opcina-split,Židovska Općina Split,zajednica,jewish,jewish,95875452278,Split,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
53,zidovska-opcina-virovitica,Židovska Općina Virovitica,zajednica,jewish,jewish,21765938029,Virovitica,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
22,zidovska-opcina-zagreb,Židovska Općina Zagreb,zajednica,jewish,jewish,79730915138,Zagreb,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
64,zidovska-opcina-cakovec,Židovska Općina Čakovec,zajednica,jewish,jewish,17533748203,Čakovec,0,,,,,,"[""datagovhr:vjerske-zajednice""]"
56,zidovska-vjerska-zajednica-bet-israel-u-hrvatskoj,Židovska Vjerska Zajednica Bet Israel u Hrvatskoj,zajednica,jewish,jewish,21465128385,Zagreb,1,,,,,,"[""datagovhr:vjerske-zajednice""]"
