id,slug,naziv,kratki_naziv,vrsta,titular,oib,biskupija,zajednica,religija,konfesija,adresa,mjesto,zupanija,lat,lng,izvor_koordinata,evidencijski_broj,status,duplikat_od,datum_upisa,sluzba,telefon,email,web,google_karta,broj_gradjevina,zupna_crkva,zupna_crkva_slug,izvori
2448,mjesno-duhovno-vijece-baha-ija-zagreba-2095,MJESNO DUHOVNO VIJEĆE BAHÁ´ÍJA ZAGREBA,Mjesno Duhovno Vijeće Bahá´íja Zagreba,ostalo,,35219322095,Bahá´í Zajednica Hrvatske,Bahá´í Zajednica Hrvatske,,,Vrbnička ulica 22,Zagreb,Grad Zagreb,45.83187302388278,15.977892800834798,naselje-centroid,12.1,AKTIVNA,,2009-04-16,Predstavnik,,,,,0,,,"[""datagovhr:vjerske-zajednice""]"
1156,benediktinski-samostan-u-krku-702697,BENEDIKTINSKI SAMOSTAN U KRKU,Benediktinski Samostan u Krku,samostan,,,Biskupija Krk,,christian,roman_catholic,Jurja Križanića 16,Krk,Primorsko-goranska,45.028091,14.5742483,church,1.1821,AKTIVAN,,2006-01-13,Opatica,051 221 935,,http://benediktinkekrk.hr/,https://maps.google.com/?cid=6116494624450508851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,Benediktinski samostan,benediktinski-samostan-krk-w375512868,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
449,biskupija-krk-4362,BISKUPIJA KRK,Biskupija Krk,biskupija,,73790034362,Biskupija Krk,,christian,roman_catholic,Biskupa Antuna Mahnića 18,Krk,Primorsko-goranska,45.02886456413219,14.583430371124496,naselje-centroid,1.371,AKTIVAN,,2004-07-14,Biskup,,,,,0,,,"[""datagovhr:katolicke-pravne-osobe""]"
399,biskupijska-ustanova-za-uzdrzavanje-klera-i-drugih-crkvenih-sluzbenika-krk-6832,BISKUPIJSKA USTANOVA ZA UZDRŽAVANJE KLERA I DRUGIH CRKVENIH SLUŽBENIKA,Biskupijska Ustanova za Uzdržavanje Klera i Drugih Crkvenih Službenika,ostalo,,42524796832,Biskupija Krk,,christian,roman_catholic,Antuna Mahnića 18,Krk,Primorsko-goranska,45.02886456413219,14.583430371124496,naselje-centroid,1.1936,AKTIVAN,,2008-07-04,Ravnatelj,,,,,0,,,"[""datagovhr:katolicke-pravne-osobe""]"
1343,caritas-biskupije-krk-4219,CARITAS BISKUPIJE KRK,Caritas Biskupije Krk,caritas,,33480204219,Biskupija Krk,,christian,roman_catholic,Stjepana Radića 1,Krk,Primorsko-goranska,45.02886456413219,14.583430371124496,naselje-centroid,1.2042,AKTIVAN,,2014-09-08,Ravnatelj,,,,,0,,,"[""datagovhr:katolicke-pravne-osobe""]"
1841,druzba-sestara-presvetog-srca-isusova-samostan-moj-mir-sv-vid-dobrinjski-8742,"DRUŽBA SESTARA PRESVETOG SRCA ISUSOVA, SAMOSTAN ""MOJ MIR"" SV. VID DOBRINJSKI","Družba Sestara Presvetog Srca Isusova, Samostan ""moj Mir"" sv. VID Dobrinjski",samostan,,37291548742,Biskupija Krk,,christian,roman_catholic,SV. VID 2,Dobrinj,Primorsko-goranska,45.131101,14.603284700000001,places,1.2072,AKTIVAN,,2019-05-14,Poglavarica,,,,https://maps.google.com/?cid=14409829931385946379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
2109,federacija-benediktinki-u-hrvatskoj-rab-3679,FEDERACIJA BENEDIKTINKI U HRVATSKOJ,Federacija Benediktinki u Hrvatskoj,ostalo,,54879673679,Biskupija Krk,,christian,roman_catholic,Ivana Rabljanina 6,Rab,Primorsko-goranska,44.75849614224243,14.758321277894058,naselje-centroid,1.2071,AKTIVAN,,2019-05-09,PREDSJEDNICA FEDERACIJE,,,,,0,,,"[""datagovhr:katolicke-pravne-osobe""]"
431,franjevacki-samostan-ilovik-0384,FRANJEVAČKI SAMOSTAN,Franjevački Samostan,samostan,,76936040384,Biskupija Krk,,christian,roman_catholic,Sv. Petar bb,Ilovik,Primorsko-goranska,44.4618021,14.547113300000001,places,1.1996,AKTIVAN,,2010-05-25,Gvardijan,,,,https://maps.google.com/?cid=5933916840207801729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1155,franjevacki-samostan-kampor-702696,FRANJEVAČKI SAMOSTAN,Franjevački Samostan,samostan,,,Biskupija Krk,,christian,roman_catholic,Kampor 19,Kampor,Primorsko-goranska,44.7686996,14.740052599999999,places,1.1820,AKTIVAN,,2006-01-12,Gvardijan - stariješina,051 724 951,,https://www.dehoniani.org/pt/,https://maps.google.com/?cid=10014709787673083722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1814,franjevacki-samostan-kosljun-punat-7636,FRANJEVAČKI SAMOSTAN KOŠLJUN,Franjevački Samostan Košljun,samostan,,00174607636,Biskupija Krk,,christian,roman_catholic,Košljun 1,Punat,Primorsko-goranska,45.026608599999996,14.6180115,places,1.1836,AKTIVAN,,2006-03-21,Gvardijan,051 854 017,,http://www.kosljun.hr/,https://maps.google.com/?cid=1719800281457145170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
505,franjevacki-samostan-sv-frane-nerezine-2284,FRANJEVAČKI SAMOSTAN SV. FRANE,Franjevački Samostan sv. Frane,samostan,,39153542284,Biskupija Krk,,christian,roman_catholic,Ulica sv. Franje 36,Nerezine,Primorsko-goranska,44.665025799999995,14.3981788,places,1.2003,AKTIVAN,,2011-01-11,Gvardijan,,,,https://maps.google.com/?cid=10593841358928181563&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
651,hrvatska-provincija-karmelicanki-bozanskog-srca-isusova-samostan-bl-marije-terezije-od-sv-josipa-punat-0523,HRVATSKA PROVINCIJA KARMELIĆANKI BOŽANSKOG SRCA ISUSOVA SAMOSTAN BL. MARIJE TEREZIJE OD SV. JOSIPA,Hrvatska Provincija Karmelićanki Božanskog Srca Isusova Samostan bl. Marije Terezije od sv. Josipa,samostan,,75975080523,Biskupija Krk,,christian,roman_catholic,I. G. Kovačića 63,Punat,Primorsko-goranska,45.026346,14.579547799999999,places,1.1824,AKTIVAN,,2006-01-16,Poglavarica samostana,051 221 117,,,https://maps.google.com/?cid=11769493363215337055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1212,hrvatska-provincija-sv-jeronima-franjevaca-konventualaca-samostan-svetoga-frane-cres-702688,HRVATSKA PROVINCIJA SV. JERONIMA FRANJEVACA KONVENTUALACA - SAMOSTAN SVETOGA FRANE - CRES,Hrvatska Provincija sv. Jeronima Franjevaca Konventualaca - Samostan Svetoga Frane - Cres,samostan,,,Biskupija Krk,,christian,roman_catholic,Trg sv. Frane 6,Cres,Primorsko-goranska,44.9582462,14.4120683,places,1.1812,AKTIVAN,,2006-01-10,Gvardijan ili vikar,051 571 217,,https://www.samostansvfrane-cres.hr/,https://maps.google.com/?cid=16154616991040258937&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
392,milosrdne-sestre-sv-kriza-samostan-porat-malinska-702826,"MILOSRDNE SESTRE SV. KRIŽA, SAMOSTAN PORAT","Milosrdne Sestre sv. Križa, Samostan Porat",samostan,,,Biskupija Krk,,christian,roman_catholic,Porat 27,Malinska,Primorsko-goranska,45.123652199999995,14.493633700000002,places,1.1931,AKTIVAN,,2008-06-17,Kućna poglavarica,,,https://sestre-sv-kriza.hr/porat-o-krk-fotogalerija/,https://maps.google.com/?cid=13087218839580230476&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1272,milosrdne-sestre-sv-kriza-samostan-veli-losinj-4416,"MILOSRDNE SESTRE SV. KRIŽA, SAMOSTAN VELI LOŠINJ","Milosrdne Sestre sv. Križa, Samostan Veli Lošinj",samostan,,80831184416,Biskupija Krk,,christian,roman_catholic,Kaciol 38,Veli Lošinj,Primorsko-goranska,44.5235354,14.502003,church,1.2005,AKTIVAN,,2011-02-01,Kućna poglavarica,,,,https://maps.google.com/?cid=5485577059691503896&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,Crkva Svetog Križa,svetog-kriza-veli-losinj-n11264691774,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
398,benediktinki-sv-andrije-rab-3188,SAMOSTAN BENEDIKTINKI SV. ANDRIJE RAB,Samostan Benediktinki sv. Andrije Rab,samostan,,48275803188,Biskupija Krk,,christian,roman_catholic,Ivana Rabljanina 6,Rab,Primorsko-goranska,44.7549569,14.7608025,places,1.1935,AKTIVAN,,2008-07-04,Opatica,051 724 232,,,https://maps.google.com/?cid=10002696988403864354&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
649,gospe-karmelske-krk-702693,SAMOSTAN GOSPE KARMELSKE,Samostan Gospe Karmelske,samostan,,,Biskupija Krk,,christian,roman_catholic,Šetalište dražica 2,Krk,Primorsko-goranska,45.026346,14.579547799999999,places,1.1817,AKTIVAN,,2006-01-12,"Prior, zamjenik priora i ekonom",051 221 117,,,https://maps.google.com/?cid=11769493363215337055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1154,sluzbenica-milosrda-mali-losinj-2178,SAMOSTAN SLUŽBENICA MILOSRĐA,Samostan Službenica Milosrđa,samostan,,42901932178,Biskupija Krk,,christian,roman_catholic,Vittorio Cralietto 2,Mali Lošinj,Primorsko-goranska,44.5316079,14.472275900000001,places,1.1819,AKTIVAN,,2006-01-12,Provincijalna poglavarica,051 231 731,,http://www.zupa-bdm-losinj.hr/,https://maps.google.com/?cid=16881896047136081320&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
2116,sluzbenica-milosrda-susak-702692,SAMOSTAN SLUŽBENICA MILOSRĐA,Samostan Službenica Milosrđa,samostan,,,Biskupija Krk,,christian,roman_catholic,Susak 194,Susak,Primorsko-goranska,44.5076671,14.3078524,places,1.1816,AKTIVAN,,2006-01-12,Provincijalna poglavarica,,,,https://maps.google.com/?cid=10507456308675397607&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
650,sv-antuna-opata-rab-8054,SAMOSTAN SV. ANTUNA OPATA RAB,Samostan sv. Antuna Opata Rab,samostan,,17011388054,Biskupija Krk,,christian,roman_catholic,Poljanica Kneginje Mande Budrišić 12,Rab,Primorsko-goranska,44.7537465,14.7624549,church,1.1822,AKTIVAN,,2006-01-16,Poglavarica samostana,,,,https://maps.google.com/?cid=17737699614588099450&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,Crkva sv. Antuna Opata,sv-antuna-opata-rab-w1200938144,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
652,sv-franje-krk-1624,SAMOSTAN SV. FRANJE,Samostan sv. Franje,samostan,,64470141624,Biskupija Krk,,christian,roman_catholic,Trg krčkih glagoljaša 2,Krk,Primorsko-goranska,45.0279199,14.574190199999999,places,1.1825,AKTIVAN,,2006-01-16,Samostanski poglavar (gvardijan),,,,https://maps.google.com/?cid=3684283852784780501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1153,sv-jeronima-martinscica-3491,SAMOSTAN SV. JERONIMA,Samostan sv. Jeronima,samostan,,73545253491,Biskupija Krk,,christian,roman_catholic,Martinšćica 18,Martinšćica,Primorsko-goranska,44.819333,14.349565,church,1.1818,AKTIVAN,,2006-01-12,Samostanski poglavar (gvardijan),051 574 199,,,https://maps.google.com/?cid=11312331767490590699&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,Samostan i župa sv. Jeronima,i-zupa-sv-jeronima-martinscica-w559446168,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1211,sv-marije-malinska-2282,SAMOSTAN SV. MARIJE,Samostan sv. Marije,samostan,,96826542282,Biskupija Krk,,christian,roman_catholic,Glavotok 70,Malinska,Primorsko-goranska,45.0911082,14.434286799999999,places,1.1811,AKTIVAN,,2006-01-10,Samostanski poglavar (gvardijan),051 862 102,,,https://maps.google.com/?cid=11514486938099314516&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1213,sv-marije-magdalene-malinska-5397,SAMOSTAN SV. MARIJE MAGDALENE,Samostan sv. Marije Magdalene,samostan,,51956715397,Biskupija Krk,,christian,roman_catholic,Porat 28,Malinska,Primorsko-goranska,45.1234724,14.4935593,places,1.1813,AKTIVAN,,2006-01-10,Samostanski poglavar (gvardijan),,,,https://maps.google.com/?cid=18144603159714717690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1424,sv-petra-benediktinke-cres-702699,SAMOSTAN SV. PETRA - BENEDIKTINKE CRES,Samostan sv. Petra - Benediktinke Cres,samostan,,,Biskupija Krk,,christian,roman_catholic,Obala sv. Benedikta 2,Cres,Primorsko-goranska,44.9542491,14.4139445,places,1.1823,AKTIVAN,,2006-01-16,Opatica,,,https://samostan-sv-petra.hr/,https://maps.google.com/?cid=9222900459010288721&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1894,svetog-josipa-novalja-0321,SAMOSTAN SVETOG JOSIPA - NOVALJA,Samostan Svetog Josipa - Novalja,samostan,,10000600321,Biskupija Krk,,christian,roman_catholic,Ulica biskupa S. Badurine 21,Novalja,Ličko-senjska,44.5565408,14.885078400000001,places,1.1814,AKTIVAN,,2006-01-12,Samostanska poglavarica,053 661 100,,https://www.facebook.com/zupa.novalja,https://maps.google.com/?cid=11466208257925975945&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1162,stolni-kaptol-u-krku-8083,STOLNI KAPTOL U KRKU,Stolni Kaptol u Krku,ostalo,,35310458083,Biskupija Krk,,christian,roman_catholic,Antuna Mahnića 18,Krk,Primorsko-goranska,45.02886456413219,14.583430371124496,naselje-centroid,1.2024,AKTIVAN,,2012-04-04,Prepozit,,,,,0,,,"[""datagovhr:katolicke-pravne-osobe""]"
2098,majke-bozje-goricke-baska-batomalj-4252,SVETIŠTE MAJKE BOŽJE GORIČKE BAŠKA,Svetište Majke Božje Goričke Baška,svetiste,Majka Božja,27890774252,Biskupija Krk,,christian,roman_catholic,Batomalj 59,Batomalj,Primorsko-goranska,44.969444444,14.731666666,church,1.2108,AKTIVAN,,2023-09-21,Rektor,051 856 547,,http://kbs-majkabozjagoricka.hr/,https://maps.google.com/?cid=2268282341540996273&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,Svetište Majke Božje Goričke,majke-bozje-goricke-jadranska-hrvatska-q19707238,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1411,pohodenja-b-d-marije-draga-bascanska-701075,ŽUPA POHOĐENJA B. D. MARIJE,Pohođenja B. D. Marije,zupa,Pohod BDM,,Biskupija Krk,,christian,roman_catholic,Draga Bašćanska 94,Draga Bašćanska,Primorsko-goranska,44.994515799999995,14.719045500000002,places,1.421,AKTIVAN,,2004-09-08,Župnik,,,,https://maps.google.com/?cid=1335569312233246044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,,,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
887,presvetog-trojstva-punat-701090,ŽUPA PRESVETOG TROJSTVA,Presvetog Trojstva,zupa,Presveto Trojstvo,,Biskupija Krk,,christian,roman_catholic,Kralja Zvonimira 12,Punat,Primorsko-goranska,45.0210315,14.6322101,church,1.427,AKTIVAN,,2004-09-08,Župnik,,,,https://maps.google.com/?cid=3639333435760609137&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,crkva Presvetog Trojstva,presvetog-trojstva-punat-w172482696,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1380,prikazanja-b-d-marije-nerezine-701013,ŽUPA PRIKAZANJA B. D. MARIJE,Prikazanja B. D. Marije,zupa,,,Biskupija Krk,,christian,roman_catholic,Vladimira Gortana 3,Nerezine,Primorsko-goranska,44.6585285,14.3971322,church,1.393,AKTIVAN,,2004-09-02,Župnik,051 237 137,,https://www.facebook.com/%C5%BDupa-Nerezine-%C4%86unski-i-Punta-Kri%C5%BEa-1189275414536035/?ref=bookmarks,https://maps.google.com/?cid=7803319563518758224&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,crkva Prikazanja Blažene Djevice Marije,prikazanja-blazene-djevice-marije-nerezine-w168550717,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
891,rodenja-b-d-marije-polje-701095,ŽUPA ROĐENJA B. D. MARIJE,Rođenja B. D. Marije,zupa,Rođenje BDM,,Biskupija Krk,,christian,roman_catholic,Stanišće 10,Polje,Primorsko-goranska,45.1343799,14.646389,church,1.431,AKTIVAN,,2004-09-09,Župnik,,,,https://maps.google.com/?cid=11127053033445764647&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,crkva Rođenja Blažene Djevice Marije,rodenja-blazene-djevice-marije-polje-w100794890,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
893,rodenja-b-d-marije-njivice-701098,ŽUPA ROĐENJA B. D. MARIJE,Rođenja B. D. Marije,zupa,Rođenje BDM,,Biskupija Krk,,christian,roman_catholic,Placa 3,Njivice,Primorsko-goranska,45.1628017,14.5409263,church,1.434,AKTIVAN,,2004-09-09,Župnik,051 846 163,,http://www.zupa-bdm-njivice.hr/,https://maps.google.com/?cid=14985336966191493804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,crkva Rođenja Blažene Djevice Marije,rodenja-blazene-djevice-marije-njivice-w166180034,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
1395,rodenja-b-d-marije-mali-losinj-9738,ŽUPA ROĐENJA B. D. MARIJE,Rođenja B. D. Marije,zupa,Rođenje BDM,00014109738,Biskupija Krk,,christian,roman_catholic,Š. Kv. Kozulića 8,Mali Lošinj,Primorsko-goranska,44.5317388,14.4723616,church,1.408,AKTIVAN,,2004-09-03,Župnik,051 231 731,,,https://maps.google.com/?cid=3988962514355549652&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,crkva rođenja Blažene Djevice Marije,rodenja-blazene-djevice-marije-mali-losinj-w130441636,"[""datagovhr:katolicke-pravne-osobe"", ""places""]"
